time,Omega,F_theta,r,omega_L3_sq,theta_rms,gamma_eff,sigma
1.00138266e+01,3.09583667e+03,3.17012671e+03,5.11998355e-01,2.01291907e+03,1.52834666e+00,3.26368570e-01,1.42304571e-05
1.01610887e+01,3.13075098e+03,3.23459106e+03,5.16583920e-01,2.01494189e+03,1.53159070e+00,3.16893458e-01,1.35452183e-05
1.03083509e+01,3.13799438e+03,3.29083862e+03,5.24353802e-01,2.00193567e+03,1.53632164e+00,3.12443912e-01,1.31281067e-05
1.04556131e+01,3.11495996e+03,3.21246997e+03,5.15651882e-01,1.97280249e+03,1.54074371e+00,3.11852217e-01,1.27584544e-05
1.06028752e+01,3.05232593e+03,3.09718457e+03,5.07348299e-01,1.91407336e+03,1.55577970e+00,3.15470248e-01,1.25885008e-05
1.07501374e+01,2.95342651e+03,3.03660083e+03,5.14081001e-01,1.82145166e+03,1.55445707e+00,3.12397987e-01,1.27400444e-05
1.08973995e+01,2.84150586e+03,2.91522510e+03,5.12971878e-01,1.72040955e+03,1.56876707e+00,3.12480032e-01,1.31823535e-05
1.10446617e+01,2.73811426e+03,2.83797314e+03,5.18234968e-01,1.65064233e+03,1.56675875e+00,3.08913678e-01,1.35956943e-05
1.11919238e+01,2.65067456e+03,2.73399316e+03,5.15716493e-01,1.58767883e+03,1.56507933e+00,3.02800387e-01,1.40590892e-05
1.13391860e+01,2.56322900e+03,2.61677368e+03,5.10444760e-01,1.51179614e+03,1.56486583e+00,3.00933093e-01,1.47768851e-05
1.14864481e+01,2.47211914e+03,2.50777612e+03,5.07211864e-01,1.43824194e+03,1.55607009e+00,2.98188567e-01,1.54610734e-05
1.16337103e+01,2.37805713e+03,2.40991650e+03,5.06698608e-01,1.35908447e+03,1.55256605e+00,3.00035387e-01,1.60759737e-05
1.17809725e+01,2.29012817e+03,2.28861597e+03,4.99669850e-01,1.29014209e+03,1.55884326e+00,2.99248010e-01,1.66006666e-05
1.19282346e+01,2.21440454e+03,2.20262134e+03,4.97339427e-01,1.23887537e+03,1.56133366e+00,2.95512795e-01,1.69265586e-05
1.20754968e+01,2.14472949e+03,2.14113281e+03,4.99161512e-01,1.19754016e+03,1.55146229e+00,2.94786990e-01,1.72244891e-05
1.22227589e+01,2.07386230e+03,2.08786914e+03,5.03377020e-01,1.15650867e+03,1.54415655e+00,2.92470545e-01,1.76762132e-05
1.23700211e+01,2.00026880e+03,2.01295215e+03,5.03170371e-01,1.11208276e+03,1.54599857e+00,2.93170661e-01,1.82220811e-05
1.25172832e+01,1.92356458e+03,1.93703589e+03,5.03501654e-01,1.06630688e+03,1.53707159e+00,2.93461204e-01,1.87895057e-05
1.26645454e+01,1.84726465e+03,1.85316589e+03,5.01597285e-01,1.01938220e+03,1.53342688e+00,2.91402787e-01,1.94855456e-05
1.28118075e+01,1.77586292e+03,1.76053809e+03,4.95685220e-01,9.75697083e+02,1.54563713e+00,2.88915932e-01,2.02108167e-05
1.29590697e+01,1.71194580e+03,1.68873718e+03,4.93221581e-01,9.34212952e+02,1.55155456e+00,2.85514086e-01,2.09482805e-05
1.31063319e+01,1.66063916e+03,1.64252185e+03,4.94545102e-01,8.99128235e+02,1.54399526e+00,2.82116294e-01,2.15828459e-05
1.32535940e+01,1.61553308e+03,1.60987256e+03,4.98248100e-01,8.65015869e+02,1.54621708e+00,2.80759513e-01,2.20671845e-05
1.34008562e+01,1.56937354e+03,1.54923743e+03,4.93584663e-01,8.30919861e+02,1.54918790e+00,2.82511652e-01,2.25413478e-05
1.35481183e+01,1.52336389e+03,1.49792346e+03,4.91649956e-01,7.98036499e+02,1.53469086e+00,2.82535315e-01,2.29203124e-05
1.36953805e+01,1.47729358e+03,1.45036243e+03,4.90884990e-01,7.64533691e+02,1.54347658e+00,2.83472747e-01,2.33773517e-05
1.38426426e+01,1.43009534e+03,1.39295544e+03,4.87014890e-01,7.31611633e+02,1.54421222e+00,2.83493817e-01,2.39290057e-05
1.39899048e+01,1.38355383e+03,1.35083093e+03,4.88174319e-01,6.99078979e+02,1.55083334e+00,2.80151308e-01,2.44738203e-05
1.41371669e+01,1.34145654e+03,1.31855176e+03,4.91462708e-01,6.72042847e+02,1.54584086e+00,2.75939792e-01,2.48844044e-05
1.42844291e+01,1.30487634e+03,1.29944019e+03,4.97916967e-01,6.51342712e+02,1.55298066e+00,2.72155732e-01,2.50177000e-05
1.44316913e+01,1.27235083e+03,1.27491162e+03,5.01006305e-01,6.33804138e+02,1.55536652e+00,2.66726673e-01,2.48621345e-05
1.45789534e+01,1.24104358e+03,1.25842883e+03,5.07004321e-01,6.16752075e+02,1.54953635e+00,2.62949675e-01,2.46661548e-05
1.47262156e+01,1.20856824e+03,1.23415979e+03,5.10587513e-01,5.97633057e+02,1.54097462e+00,2.61210203e-01,2.46379550e-05
1.48734777e+01,1.17535571e+03,1.20024854e+03,5.10589480e-01,5.77813599e+02,1.53500724e+00,2.61714101e-01,2.47414300e-05
1.49986506e+01,1.14844067e+03,1.17288403e+03,5.10641932e-01,5.62063354e+02,1.53320742e+00,2.60525823e-01,2.49009117e-05
